Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Std. Lower Bound,PCA Lower Bound,PCA Conf estimation
?a  <http://www.wikidata.org/prop/direct/P3373>  ?f  ?b  <http://www.wikidata.org/prop/direct/P3373>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b,0.07771261,0.135031847,0.407692308,106,785,260,?b,0.0,0.0,0.0
?f  <http://www.wikidata.org/prop/direct/P20>  ?b  ?a  <http://www.wikidata.org/prop/direct/P22>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P20>  ?b,0.015665796,0.128571429,0.168224299,18,140,107,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P20>  ?a  ?e  <http://www.wikidata.org/prop/direct/P27>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P17>  ?b,0.138702461,0.127703399,0.322916667,124,971,384,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P27>  ?b  ?e  <http://www.wikidata.org/prop/direct/P937>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P17>  ?b,0.100671141,0.122282609,0.2200489,90,736,409,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P22>  ?b  ?e  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P22>  ?b,0.08995687,0.118892508,0.986486486,146,1228,148,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P19>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P20>  ?b,0.16797215,0.118332311,0.16797215,193,1631,1149,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P25>  ?b  ?e  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P25>  ?b,0.087336245,0.115131579,0.95890411,140,1216,146,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P21>  ?b  ?e  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P21>  ?b,0.083898828,0.11038961,0.918918919,136,1232,148,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P3373>  ?a  ?e  <http://www.wikidata.org/prop/direct/P734>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P734>  ?b,0.08373494,0.109968354,0.914473684,139,1264,152,?a,0.0,0.0,0.0
?b  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b,0.107038123,0.107038123,0.389333333,146,1364,375,?b,0.0,0.0,0.0
