Restaurant ID,Restaurant Name,City,country name,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
7886,Naagar Foods,New Delhi,India,"D-88, Amrit Puri B, East of Kailash, New Delhi",East of Kailash,"East of Kailash, New Delhi",77.253492,28.556673,indian,200,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,17
7888,Hasty Tasty,New Delhi,India,"C Block Market, East of Kailash, New Delhi",East of Kailash,"East of Kailash, New Delhi",77.256582,28.559209,Chinese,300,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,12
7889,Paljees Fresh Baked,New Delhi,India,"8/24, Sahi Hospital Road, Jangpura Extension, Jangpura, New Delhi",Jangpura,"Jangpura, New Delhi",77.245051,28.582851,FAST FOOD,200,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,16
7891,Aggarwal Sweet India,New Delhi,India,"8/20, Sahi Hospital Road, Jangpura Extension, Jangpura, New Delhi",Jangpura,"Jangpura, New Delhi",77.245073,28.583072,Street Food,150,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,15
7892,Modi Pastry Corner,New Delhi,India,"3/38, Jangpura Extension, Jangpura, New Delhi",Jangpura,"Jangpura, New Delhi",77.246756,28.581391,FAST FOOD,100,Indian Rupees(Rs.),No,No,No,No,1,2.6,Orange,Average,17
7893,Cafe Coffee Day,New Delhi,India,"6, Ground Floor Northside, Community Center, East of Kailash, New Delhi",East of Kailash,"East of Kailash, New Delhi",77.245962,28.558244,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,24
7897,Govinda's Confectionery,New Delhi,India,"Iskcon Temple Complex, Main Road, East of Kailash, New Delhi",East of Kailash,"East of Kailash, New Delhi",77.253504,28.556445,bakery,150,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,12
7901,Cafe Coffee Day,New Delhi,India,"G-18, Ground Floor, Spendour Farm, Distric Centre, Jasola, New Delhi",Jasola,"Jasola, New Delhi",77.286536,28.537718,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,23
7905,Moni Bakers,New Delhi,India,"5-A/1, Main Market, Madanpur Khadar, Near Aggarwal Sweets, Pocket D & E, Sarita Vihar, New Delhi",Sarita Vihar,"Sarita Vihar, New Delhi",77.297215,28.532575,bakery,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
7906,Udupi Sai Sarover,New Delhi,India,"A-91B, Central Market, Lajpat Nagar 2, New Delhi",Lajpat Nagar 2,"Lajpat Nagar 2, New Delhi",77.239842,28.570345,indian,550,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good,63
7908,Sagar Ratna,New Delhi,India,"24 & 25, Ground Floor, Tower B, DLF Building, Near District Center, Jasola, New Delhi",Jasola,"Jasola, New Delhi",77.288238,28.539807,indian,600,Indian Rupees(Rs.),No,Yes,No,No,2,2.4,Red,Poor,76
7909,Subway,Noida,India,"C Block, Logic Cyber Park, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.366493,28.612903,FAST FOOD,500,Indian Rupees(Rs.),No,Yes,No,No,2,2.4,Red,Poor,88
7912,Pizza Hut Delivery,New Delhi,India,"15-B, Ground Floor, Splendor Forum, District Centre, Jasola, New Delhi",Jasola,"Jasola, New Delhi",77.286686,28.537727,FAST FOOD,800,Indian Rupees(Rs.),No,Yes,No,No,2,2.5,Orange,Average,47
7913,Nizam's Kathi Kabab,Noida,India,"C-18, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.324587,28.570717,FAST FOOD,900,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,139
7932,McDonald's,Noida,India,"Food Court, 3rd Floor, The Great India Palace Mall, Sector 38, Noida","The Great India Place, Sector 38","The Great India Place, Sector 38, Noida",77.325308,28.56715,FAST FOOD,500,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,70
7939,Baskin Robbins,Noida,India,"Ground Floor, The Great India Place Mall, Sector 38 A, Noida, Sector 38, Noida","The Great India Place, Sector 38","The Great India Place, Sector 38, Noida",77.325497,28.567254,Ice Cream,300,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,41
